R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
12.076666776945558,363.35170740461,30.08708562682635,2426512.226885705,2420134.090585705,6.3124667712947575,300.905328032496,two_body_invalid
12.09105785846249,329.20137498236846,27.226846388131502,2198451.6522796666,2192073.5159796667,5.719177035066771,259.7947291125939,two_body_invalid
12.106950762085303,298.2780702289106,24.63692766993092,1991941.6082896374,1985563.4719896375,5.18195007359427,224.34758937921526,two_body_invalid
12.124502214717047,270.2768449767282,22.29178898979118,1804945.6094885615,1798567.4731885616,4.69548805798273,193.78163251026203,two_body_invalid
12.143885298941015,244.92156699400383,20.16830371539838,1635619.607195539,1629241.470895539,4.254993775222526,167.42274739161184,two_body_invalid
12.16529115986411,221.96219692911583,18.245530995708222,1482293.804540077,1475915.668240077,3.856123320863884,144.69002722546423,two_body_invalid
12.188930890082704,201.17232256954188,16.50450924561579,1343456.1899069669,1337078.053606967,3.4949432619848255,125.08287821247424,two_body_invalid
12.215037611359445,182.3469260997217,14.928069147339107,1217737.626379969,1211359.4900799692,3.1678918480228124,108.16991150616839,two_body_invalid
12.243868773539349,165.30036234040384,13.500664324142399,1103898.3501486038,1097520.213848604,2.871743886963069,93.57937174520164,two_body_invalid
12.275708693375794,149.8645280316802,12.208218016166347,1000815.7447307311,994437.6084307311,2.603578940506585,80.99088959582754,two_body_invalid
12.310871358302913,135.88720410730713,11.037984245985943,907473.2704545169,901095.1341545169,2.3607525245955174,70.12837514456163,two_body_invalid
12.349703522803573,123.23055461300702,9.978422104260506,822950.4400302547,816572.3037302546,2.140870031296188,60.75389431841757,two_body_invalid
12.39258812790765,111.76976746610242,9.019081915132888,746413.7413579376,740035.6050579376,1.9417631148749677,52.66239234299539,two_body_invalid
12.439948077541704,101.39182365360092,8.15050215817599,677108.4180643109,670730.2817643109,1.7614683092203718,45.67714706191415,two_body_invalid
12.492250408970351,91.99438273169132,7.364116129599244,614351.026716601,607972.890416601,1.5982076657559858,39.64585115039625,two_body_invalid
12.550010898455863,83.4847736370433,6.652167421409583,557522.697322822,551144.5610228219,1.450371220923054,34.4372362235951,two_body_invalid
12.613799147554422,75.77908085889003,6.007633384077006,506063.0306643887,499684.89436438866,1.3165011203548092,29.938163875374535,two_body_invalid
